Postcode,Bedrooms,RentalUnitDesc,VUDate,VTDate,TENDate,RUUseType,HousingServiceCentre,VUDays,VTDays,TotalVAC,LGA,StateElectorate
4572,1,1 BR SENIOR UNIT,10-11-15,12-11-15,10-12-15,SNR,205,2,28,30,SUNSHINE COAST,MAROOCHYDORE
4572,2,2 BR APARTMENT,04-08-15,19-08-15,03-09-15,RGS,205,15,15,30,SUNSHINE COAST,MAROOCHYDORE
4035,3,3 BR DETACHED HOUSE,05-11-15,20-11-15,24-11-15,RGS,103,15,4,19,MORETON BAY,EVERTON
4161,3,3 BR DETACHED HOUSE,04-05-16,20-05-16,26-05-16,RGS,106,16,6,22,REDLAND,CAPALABA
4161,3,3 BR DETACHED HOUSE,31-08-15,21-09-15,22-09-15,RGS,106,21,1,22,REDLAND,CAPALABA
4161,1,1 BR SENIOR UNIT,30-09-15,22-10-15,22-10-15,SNR,106,22,0,22,REDLAND,CAPALABA
4161,1,1 BR SENIOR UNIT,15-12-15,24-12-15,11-01-16,SNR,106,9,18,27,REDLAND,CAPALABA
4161,1,1 BR SENIOR UNIT,12-02-16,15-02-16,15-02-16,SNR,106,3,0,3,REDLAND,CAPALABA
4161,1,1 BR SENIOR UNIT,22-12-15,11-01-16,13-01-16,SNR,106,20,2,22,REDLAND,CAPALABA
4161,1,1 BR SENIOR UNIT,30-10-15,09-11-15,09-11-15,SNR,106,10,0,10,REDLAND,CAPALABA
4161,3,3 BR DETACHED HOUSE,01-02-16,18-02-16,22-02-16,RGS,106,17,4,21,REDLAND,CAPALABA
4161,2,2 BR CLUSTER HOUSING,28-09-15,07-10-15,16-10-15,RGS,106,9,9,18,REDLAND,CAPALABA
4161,2,2 BR CLUSTER HOUSING,20-07-15,31-07-15,07-08-15,RGS,106,11,7,18,REDLAND,CAPALABA
4161,3,3 BR DETACHED HOUSE,23-09-15,09-10-15,12-10-15,RGS,106,16,3,19,REDLAND,CAPALABA
4054,3,3 BR DETACHED HOUSE,12-08-15,25-08-15,27-08-15,RGS,103,13,2,15,MORETON BAY,FERNY GROVE
4054,3,3 BR DETACHED HOUSE,12-06-15,26-06-15,03-07-15,RGS,103,14,7,21,MORETON BAY,FERNY GROVE
4054,3,3 BR DETACHED HOUSE,17-03-16,01-04-16,07-04-16,RGS,103,15,6,21,MORETON BAY,FERNY GROVE
4054,3,3 BR DETACHED HOUSE,07-08-15,01-09-15,25-09-15,RGS,103,25,24,49,MORETON BAY,FERNY GROVE
4214,2,2 BR DUPLEX,21-07-15,05-08-15,13-08-15,RGS,204,15,8,23,GOLD COAST,SOUTHPORT
4883,3,3 BR DETACHED HOUSE,17-02-16,26-02-16,03-03-16,RGS,202,9,6,15,TABLELANDS,DALRYMPLE
4883,1,1 BR SENIOR UNIT,06-08-15,14-08-15,12-10-15,SNR,202,8,59,67,TABLELANDS,DALRYMPLE
4883,3,3 BR DETACHED HOUSE,29-01-16,11-02-16,18-02-16,RGS,202,13,7,20,TABLELANDS,DALRYMPLE
4883,2,2 BR ATTACHED HOUSING,29-09-15,08-10-15,11-11-15,RGS,202,9,34,43,TABLELANDS,DALRYMPLE
4883,2,2 BR CLUSTER HOUSING,01-12-15,09-12-15,07-01-16,RGS,202,8,29,37,TABLELANDS,DALRYMPLE
4883,2,2 BR CLUSTER HOUSING,12-01-16,13-01-16,18-01-16,RGS,202,1,5,6,TABLELANDS,DALRYMPLE
4883,2,2 BR CLUSTER HOUSING,10-03-16,06-05-16,30-05-16,RGS,202,57,24,81,TABLELANDS,DALRYMPLE
4883,1,1 BR SENIOR UNIT,19-11-15,01-12-15,10-12-15,SNR,202,12,9,21,TABLELANDS,DALRYMPLE
4883,3,3 BR DETACHED HOUSE,07-12-15,14-12-15,14-12-15,RGS,202,7,0,7,TABLELANDS,DALRYMPLE
4883,3,3 BR DETACHED HOUSE,16-12-15,06-01-16,18-01-16,RGS,202,21,12,33,TABLELANDS,DALRYMPLE
4807,3,3 BR DETACHED HOUSE,28-09-15,07-10-15,30-10-15,RGS,201,9,23,32,BURDEKIN,BURDEKIN
4807,2,2 BR DUPLEX,16-03-16,04-04-16,09-06-16,RGS,201,19,66,85,BURDEKIN,BURDEKIN
4807,2,2 BR DUPLEX,23-06-15,03-07-15,14-10-15,RGS,201,10,103,113,BURDEKIN,BURDEKIN
4807,4,4 BR DETACHED HOUSE,29-10-15,10-11-15,16-12-15,RGS,201,12,36,48,BURDEKIN,BURDEKIN
4807,3,3 BR DETACHED HOUSE,30-03-16,08-04-16,20-04-16,RGS,201,9,12,21,BURDEKIN,BURDEKIN
4807,2,2 BR DUPLEX,05-05-16,13-05-16,30-05-16,RGS,201,8,17,25,BURDEKIN,BURDEKIN
4807,3,3 BR DETACHED HOUSE,30-09-15,09-10-15,29-10-15,RGS,201,9,20,29,BURDEKIN,BURDEKIN
4807,3,3 BR DETACHED HOUSE,12-06-15,22-06-15,07-07-15,RGS,201,10,15,25,BURDEKIN,BURDEKIN
4807,3,3 BR DETACHED HOUSE,24-05-16,01-06-16,03-06-16,RGS,201,8,2,10,BURDEKIN,BURDEKIN
4807,1,1 BR SENIOR UNIT,28-07-15,03-08-15,05-11-15,SNR,201,6,94,100,BURDEKIN,BURDEKIN
4807,1,1 BR SENIOR UNIT,25-09-15,02-10-15,28-04-16,SNR,201,7,209,216,BURDEKIN,BURDEKIN
4807,2,2 BR ATTACHED HOUSING,16-07-15,27-07-15,04-08-15,RGS,201,11,8,19,BURDEKIN,BURDEKIN
4807,3,3 BR DETACHED HOUSE,17-02-16,01-03-16,04-03-16,RGS,201,13,3,16,BURDEKIN,BURDEKIN
4807,2,2 BR DUAL OCCUPANCY,18-09-15,06-10-15,23-10-15,RGS,201,18,17,35,BURDEKIN,BURDEKIN
4807,2,2 BR DUAL OCCUPANCY,18-01-16,25-01-16,10-03-16,RGS,201,7,45,52,BURDEKIN,BURDEKIN
4807,5,5 BR DETACHED HOUSE,04-09-15,02-10-15,02-10-15,RGS,201,28,0,28,BURDEKIN,BURDEKIN
4807,4,4 BR DETACHED HOUSE,08-10-15,19-10-15,21-10-15,RGS,201,11,2,13,BURDEKIN,BURDEKIN
4807,4,4 BR DETACHED HOUSE,13-10-15,23-10-15,08-12-15,RGS,201,10,46,56,BURDEKIN,BURDEKIN
4807,3,3 BR CLUSTER HOUSING,28-07-15,10-08-15,28-08-15,RGS,201,13,18,31,BURDEKIN,BURDEKIN
4807,3,3 BR DETACHED HOUSE,02-07-15,10-07-15,28-07-15,AHG,201,8,18,26,BURDEKIN,BURDEKIN
4807,3,3 BR DETACHED HOUSE,09-05-16,25-05-16,09-06-16,AHG,201,16,15,31,BURDEKIN,BURDEKIN
4053,2,2 BR APARTMENT,09-11-15,18-11-15,25-11-15,RGS,105,9,7,16,BRISBANE,STAFFORD
4053,2,2 BR APARTMENT,14-04-16,28-04-16,05-05-16,RGS,105,14,7,21,BRISBANE,STAFFORD
4051,1,1 BR SENIOR UNIT,11-01-16,22-01-16,27-01-16,SNR,108,11,5,16,BRISBANE,ASHGROVE
4051,1,1 BR SENIOR UNIT,11-01-16,22-01-16,27-01-16,SNR,108,11,5,16,BRISBANE,ASHGROVE
4051,1,1 BR APARTMENT,04-11-15,05-11-15,05-11-15,RGS,108,1,0,1,BRISBANE,ASHGROVE
4032,2,2 BR APARTMENT,05-01-16,27-01-16,29-01-16,RGS,105,22,2,24,BRISBANE,NUDGEE
4032,2,2 BR APARTMENT,02-07-15,16-07-15,21-07-15,RGS,105,14,5,19,BRISBANE,NUDGEE
4012,2,2 BR DETACHED HOUSE,14-08-15,02-09-15,03-09-15,RGS,105,19,1,20,BRISBANE,NUDGEE
4012,1,1 BR SENIOR UNIT,29-10-15,10-11-15,20-11-15,SNR,105,12,10,22,BRISBANE,NUDGEE
4053,2,2 BR DETACHED HOUSE,11-09-15,16-09-15,18-09-15,RGS,105,5,2,7,BRISBANE,STAFFORD
4032,2,2 BR APARTMENT,01-10-15,19-10-15,21-10-15,RGS,105,18,2,20,BRISBANE,STAFFORD
4032,2,2 BR APARTMENT,15-09-15,17-09-15,21-09-15,RGS,105,2,4,6,BRISBANE,STAFFORD
4170,3,3 BR DETACHED HOUSE,03-05-16,03-05-16,03-05-16,RGS,109,0,0,0,BRISBANE,BULIMBA
4012,3,3 BR DETACHED HOUSE,07-08-15,25-08-15,27-08-15,RGS,105,18,2,20,BRISBANE,NUDGEE
4121,2,2 BR APARTMENT,20-01-16,28-01-16,19-02-16,RGS,107,8,22,30,BRISBANE,GREENSLOPES
4152,2,2 BR APARTMENT,14-08-15,25-08-15,26-08-15,RGS,107,11,1,12,BRISBANE,CHATSWORTH
4152,2,2 BR APARTMENT,29-09-15,09-10-15,23-12-15,RGS,107,10,75,85,BRISBANE,CHATSWORTH
4053,2,2 BR APARTMENT,24-07-15,11-08-15,17-08-15,RGS,105,18,6,24,BRISBANE,STAFFORD
4053,2,2 BR APARTMENT,11-04-16,28-04-16,06-05-16,RGS,105,17,8,25,BRISBANE,STAFFORD
4053,3,3 BR DETACHED HOUSE,17-11-15,02-12-15,15-12-15,RGS,105,15,13,28,BRISBANE,STAFFORD
4032,2,2 BR APARTMENT,13-08-15,27-08-15,02-09-15,RGS,105,14,6,20,BRISBANE,NUDGEE
4032,2,2 BR APARTMENT,19-02-16,10-03-16,11-03-16,RGS,105,20,1,21,BRISBANE,NUDGEE
4032,2,2 BR APARTMENT,16-07-15,31-07-15,04-08-15,RGS,105,15,4,19,BRISBANE,NUDGEE
4053,2,2 BR APARTMENT,06-11-15,20-11-15,14-12-15,RGS,105,14,24,38,BRISBANE,STAFFORD
4053,2,2 BR APARTMENT,31-05-16,14-06-16,16-06-16,RGS,105,14,2,16,BRISBANE,STAFFORD
4053,2,2 BR APARTMENT,11-08-15,27-08-15,01-09-15,RGS,105,16,5,21,BRISBANE,STAFFORD
4053,2,2 BR APARTMENT,16-07-15,07-08-15,07-08-15,RGS,105,22,0,22,BRISBANE,STAFFORD
4053,1,1 BR APARTMENT,27-08-15,11-09-15,14-09-15,RGS,105,15,3,18,BRISBANE,STAFFORD
4053,1,1 BR APARTMENT,20-10-15,28-10-15,03-11-15,RGS,105,8,6,14,BRISBANE,STAFFORD
4053,2,2 BR DETACHED HOUSE,06-07-15,06-07-15,06-07-15,RGS,105,0,0,0,BRISBANE,STAFFORD
4053,2,2 BR APARTMENT,29-01-16,19-02-16,23-02-16,RGS,105,21,4,25,BRISBANE,STAFFORD
4107,2,2 BR DETACHED HOUSE,09-06-15,18-01-16,28-01-16,RGS,107,223,10,233,BRISBANE,YEERONGPILLY
4178,2,2 BR APARTMENT,06-08-15,19-08-15,24-08-15,RGS,109,13,5,18,BRISBANE,LYTTON
4178,2,2 BR APARTMENT,25-09-15,06-10-15,15-10-15,RGS,109,11,9,20,BRISBANE,LYTTON
4054,2,2 BR DUPLEX,28-10-15,10-11-15,10-11-15,RGS,108,13,0,13,BRISBANE,FERNY GROVE
4054,3,3 BR DETACHED HOUSE,04-08-15,24-08-15,25-08-15,RGS,108,20,1,21,BRISBANE,FERNY GROVE
4121,3,3 BR DETACHED HOUSE,30-11-15,09-12-15,22-12-15,RGS,107,9,13,22,BRISBANE,GREENSLOPES
4121,3,3 BR DETACHED HOUSE,09-09-15,21-09-15,29-09-15,RGS,107,12,8,20,BRISBANE,GREENSLOPES
4032,2,2 BR DUPLEX,07-03-16,22-03-16,13-04-16,RGS,105,15,22,37,BRISBANE,NUDGEE
4053,2,2 BR DUPLEX,03-07-15,30-07-15,04-08-15,RGS,105,27,5,32,BRISBANE,STAFFORD
4053,2,2 BR DUPLEX,03-07-15,14-07-15,17-07-15,RGS,105,11,3,14,BRISBANE,STAFFORD
4053,3,3 BR DETACHED HOUSE,24-06-15,09-07-15,10-07-15,RGS,105,15,1,16,BRISBANE,STAFFORD
4053,2,2 BR DETACHED HOUSE,02-11-15,13-11-15,20-11-15,RGS,105,11,7,18,BRISBANE,STAFFORD
4053,3,3 BR DETACHED HOUSE,22-06-15,17-07-15,21-07-15,RGS,105,25,4,29,BRISBANE,STAFFORD
4053,2,2 BR APARTMENT,30-06-15,15-07-15,17-07-15,RGS,105,15,2,17,BRISBANE,STAFFORD
4053,4,4 BR DETACHED HOUSE,28-10-15,20-11-15,01-12-15,RGS,105,23,11,34,BRISBANE,STAFFORD
